Episode 0, Avg Reward: -10.00, Avg Len: 1.0
Episode 100, Avg Reward: -7.20, Avg Len: 3.1
Episode 200, Avg Reward: -6.67, Avg Len: 2.82
Episode 300, Avg Reward: -5.89, Avg Len: 3.32
Episode 400, Avg Reward: -5.16, Avg Len: 4.5
Episode 500, Avg Reward: -6.69, Avg Len: 4.3
Episode 600, Avg Reward: -7.13, Avg Len: 3.65
Episode 700, Avg Reward: -6.69, Avg Len: 3.64
Episode 800, Avg Reward: -7.10, Avg Len: 4.49
Episode 900, Avg Reward: -6.76, Avg Len: 4.21
Episode 1000, Avg Reward: -6.18, Avg Len: 4.51
Episode 1100, Avg Reward: -5.57, Avg Len: 3.57
Episode 1200, Avg Reward: -6.68, Avg Len: 4.84
Episode 1300, Avg Reward: -5.11, Avg Len: 5.43
Episode 1400, Avg Reward: -4.94, Avg Len: 4.75
Episode 1500, Avg Reward: -4.04, Avg Len: 5.99
Episode 1600, Avg Reward: -5.62, Avg Len: 5.52
Episode 1700, Avg Reward: -5.40, Avg Len: 5.55
Episode 1800, Avg Reward: -5.42, Avg Len: 5.52
Episode 1900, Avg Reward: -5.89, Avg Len: 5.18
Episode 2000, Avg Reward: -2.16, Avg Len: 6.34
Episode 2100, Avg Reward: -5.05, Avg Len: 5.38
Episode 2200, Avg Reward: -5.45, Avg Len: 4.64
Episode 2300, Avg Reward: -5.12, Avg Len: 5.67
Episode 2400, Avg Reward: -2.77, Avg Len: 6.65
Episode 2500, Avg Reward: -4.58, Avg Len: 6.23
Episode 2600, Avg Reward: -2.93, Avg Len: 5.16
Episode 2700, Avg Reward: -2.63, Avg Len: 4.88
Episode 2800, Avg Reward: -2.72, Avg Len: 6.38
Episode 2900, Avg Reward: 0.04, Avg Len: 5.99
Episode 3000, Avg Reward: -2.87, Avg Len: 5.55
Episode 3100, Avg Reward: -2.16, Avg Len: 5.66
Episode 3200, Avg Reward: -4.16, Avg Len: 5.34
Episode 3300, Avg Reward: -1.43, Avg Len: 5.28
Episode 3400, Avg Reward: -1.99, Avg Len: 5.8
Episode 3500, Avg Reward: -1.96, Avg Len: 5.6
Episode 3600, Avg Reward: -2.47, Avg Len: 5.79
Episode 3700, Avg Reward: -2.75, Avg Len: 5.32
Episode 3800, Avg Reward: -2.74, Avg Len: 5.39
Episode 3900, Avg Reward: -0.36, Avg Len: 5.86
Episode 4000, Avg Reward: -0.49, Avg Len: 6.14
Episode 4100, Avg Reward: -2.18, Avg Len: 5.93
Episode 4200, Avg Reward: -1.06, Avg Len: 5.66
Episode 4300, Avg Reward: -0.85, Avg Len: 5.65
