Episode 0, Avg Reward: -10.00, Avg Len: 1.0
Episode 100, Avg Reward: -8.29, Avg Len: 2.93
Episode 200, Avg Reward: -6.16, Avg Len: 4.75
Episode 300, Avg Reward: -6.68, Avg Len: 4.66
Episode 400, Avg Reward: -5.65, Avg Len: 4.44
Episode 500, Avg Reward: -7.27, Avg Len: 4.22
Episode 600, Avg Reward: -6.35, Avg Len: 4.25
Episode 700, Avg Reward: -5.42, Avg Len: 3.91
Episode 800, Avg Reward: -6.23, Avg Len: 4.16
Episode 900, Avg Reward: -5.43, Avg Len: 4.29
Episode 1000, Avg Reward: -6.14, Avg Len: 4.32
Episode 1100, Avg Reward: -5.90, Avg Len: 5.11
